% Model:              new design bilayer_eg1.mph
% Version:            COMSOL 5.3.0.248
% Date:               Oct 6 2017, 14:30
% Table:              Table 1 - Global Evaluation 1 (es.Forcey_Electrosf)
% gd (1)                 S184d (1)                Electromagnetic force, y component (N)
5                        1                        0.10337890938236947
5                        2                        0.16438051147106986
5                        3                        0.1931190824687517
5                        4                        0.2065728844104953
5                        5                        0.2120936941396714
5                        6                        0.21318318917292048
5                        7                        0.2116802540352467
5                        8                        0.2086248649590507
5                        9                        0.20463830426745444
5                        10                       0.2001069868197726
5                        11                       0.19527835968936946
5                        12                       0.19031409916863345
5                        13                       0.1853211325887817
5                        14                       0.18037048808913292
5                        15                       0.17550914595497996
5                        16                       0.17076770548529813
5                        17                       0.16616546510411676
5                        18                       0.16171385703086746
5                        19                       0.1574188091629401
5                        20                       0.15328239242928804
5                        21                       0.14930398331683212
5                        22                       0.14548109206844106
5                        23                       0.14180995706609184
5                        24                       0.13828597368142945
5                        25                       0.1349040046880491
5                        26                       0.13165860515820652
5                        27                       0.12854418513838098
5                        28                       0.12555512676362535
5                        29                       0.12268586784010982
5                        30                       0.11993096065570323
10                       1                        0.13649446315105168
10                       2                        0.21771535205893783
10                       3                        0.25743149988170533
10                       4                        0.2769813038666795
10                       5                        0.28588627519441084
10                       6                        0.28875950848686577
10                       7                        0.28805163779683335
10                       8                        0.2851610831375364
10                       9                        0.28092982928372573
10                       10                       0.2758855454591241
10                       11                       0.2703688441525133
10                       12                       0.26460429007333885
10                       13                       0.2587420104408329
10                       14                       0.252883084640603
10                       15                       0.24709556760332624
10                       16                       0.24142489234849876
10                       17                       0.23590078657310803
10                       18                       0.23054196528529536
10                       19                       0.22535936947705854
10                       20                       0.22035843381888348
10                       21                       0.21554069379094307
10                       22                       0.21090493608970062
10                       23                       0.20644802874065243
10                       24                       0.20216552379376332
10                       25                       0.198052096792708
10                       26                       0.19410186798784096
10                       27                       0.19030863718099575
10                       28                       0.18666605506037504
10                       29                       0.18316774757066007
10                       30                       0.17980740539791926
15                       1                        0.15785284083018442
15                       2                        0.24961089002885647
15                       3                        0.29523149423951844
15                       4                        0.318343551327947
15                       5                        0.32950624838980125
15                       6                        0.3338554902967964
15                       7                        0.334129323656956
15                       8                        0.3318953028148597
15                       9                        0.32810033756867935
15                       10                       0.32333993400022554
15                       11                       0.31800002120934634
15                       12                       0.3123362386179413
15                       13                       0.30652047521020326
15                       14                       0.30066931070976205
15                       15                       0.29486199146010145
15                       16                       0.2891521178330089
15                       17                       0.28357542695317256
15                       18                       0.27815508147923995
15                       19                       0.27290532608213447
15                       20                       0.2678340526135374
15                       21                       0.262944621984019
15                       22                       0.2582371714892119
15                       23                       0.25370956081708956
15                       24                       0.24935806114561973
15                       25                       0.24517785955982627
15                       26                       0.24116342943850103
15                       27                       0.23730880276343289
15                       28                       0.23360777015164363
15                       29                       0.23005402730744662
15                       30                       0.2266412815626623
20                       1                        0.1763567882609426
20                       2                        0.27612717099115913
20                       3                        0.3262401836420759
20                       4                        0.35221264660031865
20                       5                        0.3653451363576977
20                       6                        0.3711293581782065
20                       7                        0.3724950792932979
20                       8                        0.37112182070288097
20                       9                        0.3680259099686096
20                       10                       0.3638479244789239
20                       11                       0.3590041501509255
20                       12                       0.35377129117713596
20                       13                       0.3483362189973123
20                       14                       0.3428263938333212
20                       15                       0.3373291056378892
20                       16                       0.33190399384575847
20                       17                       0.3265913917799975
20                       18                       0.3214180028740719
20                       19                       0.3164008295702635
20                       20                       0.31154993328790337
20                       21                       0.3068703976897014
20                       22                       0.3023637400008947
20                       23                       0.2980289344193127
20                       24                       0.2938631594439616
20                       25                       0.2898623465253489
20                       26                       0.2860215843487443
20                       27                       0.2823354173274619
20                       28                       0.27879806601013074
20                       29                       0.2754035894945483
20                       30                       0.2721460045501924
25                       1                        0.19371197370634793
25                       2                        0.3007399554429266
25                       3                        0.35489969645769365
25                       4                        0.3835349855651555
25                       5                        0.3985930792324698
25                       6                        0.4058614717025114
25                       7                        0.40842558464953527
25                       8                        0.40805482229631784
25                       9                        0.405821027067287
25                       10                       0.40240087248421047
25                       11                       0.39823509146322805
25                       12                       0.39361750687633795
25                       13                       0.38874731683054187
25                       14                       0.38376107230662554
25                       15                       0.37875290867457145
25                       16                       0.3737877159965971
25                       17                       0.3689099222707582
25                       18                       0.36414947262691477
25                       19                       0.35952597169461376
25                       20                       0.3550515967043117
25                       21                       0.3507331723767102
25                       22                       0.34657366478502294
25                       23                       0.3425732666027377
25                       24                       0.3387301913097892
25                       25                       0.33504125776730015
25                       26                       0.33150232230802124
25                       27                       0.3281085989544956
25                       28                       0.32485489694690256
25                       29                       0.32173579675917124
25                       30                       0.3187457801115571
30                       1                        0.2103405870100031
30                       2                        0.32445487218971136
30                       3                        0.38255385036999673
30                       4                        0.41383170532787833
30                       5                        0.43085445344816253
30                       6                        0.43968305766316873
30                       7                        0.4435441017856052
30                       8                        0.44428767766078375
30                       9                        0.4430352538830209
30                       10                       0.4404957759351169
30                       11                       0.43713191179494004
30                       12                       0.43325294290822985
30                       13                       0.4290692979349862
30                       14                       0.4247259023278292
30                       15                       0.4203232799633734
30                       16                       0.41593129363585085
30                       17                       0.4115983125754607
30                       18                       0.40735745700561515
30                       19                       0.40323092771452707
30                       20                       0.39923305374791224
30                       21                       0.3953724657173453
30                       22                       0.3916536627388002
30                       23                       0.3880781526984026
30                       24                       0.38464528841074613
30                       25                       0.3813528845598309
30                       26                       0.3781976750327875
30                       27                       0.3751756530265472
30                       28                       0.37228232439472725
30                       29                       0.3695128963590392
30                       30                       0.366862417796997
35                       1                        0.22634453338997357
35                       2                        0.34757792531891596
35                       3                        0.40963803500287266
35                       4                        0.44360426095195443
35                       5                        0.4626576807097005
35                       6                        0.47312559754581424
35                       7                        0.4783703146416498
35                       8                        0.48031893192296143
35                       9                        0.4801401249500816
35                       10                       0.4785735316689375
35                       11                       0.4761027289461189
35                       12                       0.4730517972466153
35                       13                       0.46964198150396863
35                       14                       0.46602633301343693
35                       15                       0.4623116282223473
35                       16                       0.458572643700564
35                       17                       0.4548616835352302
